""	"x"
"1"	0.2332
"2"	0.2232
"3"	0.2472
"4"	0.39760002
"5"	0.4412
"6"	0.3492
"7"	0.4112
"8"	0.3596
"9"	0.32000002
"10"	0.277
"11"	0.1754
"12"	0.153
"13"	0.169
"14"	0.1796
"15"	0.1478
"16"	0.1844
"17"	0.157
"18"	0.1844
"19"	0.2686
"20"	0.2302
"21"	0.209
"22"	0.3804
"23"	0.6362
"24"	0.69639998
"25"	0.5852
"26"	0.3064
"27"	0.55480002
"28"	0.5558
"29"	0.3244
"30"	0.5138
"31"	0.44160002
"32"	0.3368
"33"	0.4872
"34"	0.5782
"35"	0.725
"36"	0.7954
"37"	0.6604
"38"	0.93340002
"39"	1.08760002
"40"	1.1126
"41"	0.8616
"42"	0.9398
"43"	0.82219996
"44"	0.80200002
"45"	0.548
"46"	0.66120002
"47"	0.5746
"48"	0.76379998
"49"	0.499
"50"	0.4686
"51"	0.4696
"52"	0.3156
"53"	0.2116
"54"	0.2018
"55"	0.2998
"56"	0.183
"57"	0.133
"58"	0.1348
"59"	0.134
"60"	0.1474
"61"	0.1442
"62"	0.158
"63"	0.1966
"64"	0.19
"65"	0.1688
"66"	0.3244
"67"	0.3914
"68"	0.43699998
"69"	0.5424
"70"	0.2714
"71"	0.3056
"72"	0.5302
"73"	0.7452
"74"	1.03240002
"75"	1.31560002
"76"	1.42240002
"77"	1.18300002
"78"	1.028
"79"	1.16440002
"80"	0.9564
"81"	0.79
"82"	0.9376
"83"	1.047
"84"	0.90340002
"85"	0.79320002
"86"	0.7376
"87"	0.69200002
"88"	0.7854
"89"	1.40200002
"90"	1.34419998
"91"	1.44979998
"92"	1.02839998
"93"	0.716
"94"	0.6106
"95"	0.7406
"96"	0.7632
"97"	0.4906
"98"	0.3094
"99"	0.388
"100"	0.2078
"101"	0.3496
"102"	0.314
"103"	0.1966
"104"	0.1586
"105"	0.1338
"106"	0.1708
"107"	0.1644
"108"	0.1578
"109"	0.1598
"110"	0.1566
"111"	0.1956
"112"	0.203
"113"	0.1734
"114"	0.1862
"115"	0.1862
"116"	0.5134
"117"	0.3136
"118"	0.2476
"119"	0.2828
"120"	0.5844
"121"	0.62760002
"122"	0.5284
"123"	0.346
"124"	0.3564
"125"	0.4186
"126"	0.64960002
"127"	0.3892
"128"	0.3174
"129"	0.329
"130"	0.4704
"131"	0.6094
"132"	0.97720002
"133"	1.0776
"134"	0.79040002
"135"	0.8058
"136"	0.5056
"137"	0.53779998
"138"	0.6
"139"	0.559
"140"	0.4936
"141"	0.76220002
"142"	0.678
"143"	0.65499996
"144"	0.4686
"145"	0.5152
"146"	0.3492
"147"	0.2938
"148"	0.2806
"149"	0.1884
"150"	0.1492
"151"	0.1254
"152"	0.1286
"153"	0.1562
"154"	0.1746
"155"	0.1666
"156"	0.173
"157"	0.1646
"158"	0.1986
"159"	0.2434
"160"	0.1908
"161"	0.2178
"162"	0.43
"163"	0.3786
"164"	0.2686
"165"	0.3692
"166"	0.2914
"167"	0.66839998
"168"	0.64520002
"169"	0.41820002
"170"	0.418
"171"	0.4454
"172"	0.39359998
"173"	0.461
"174"	0.52
"175"	0.57559998
"176"	0.3774
"177"	0.4078
"178"	0.6578
"179"	0.66959998
"180"	0.79180002
"181"	0.72660002
"182"	0.68420002
"183"	0.86739998
"184"	0.7634
"185"	0.5756
"186"	0.76659998
"187"	0.58520002
"188"	0.5272
"189"	0.53400002
"190"	0.5824
"191"	0.6612
"192"	0.507
"193"	0.6072
"194"	0.46980002
"195"	0.4358
"196"	0.459
"197"	0.3922
"198"	0.296
"199"	0.1986
"200"	0.16
"201"	0.1536
"202"	0.1292
"203"	0.1482
"204"	0.131
"205"	0.1402
"206"	0.154
"207"	0.188
"208"	0.1658
"209"	0.187
"210"	0.1686
"211"	0.139
"212"	0.2538
"213"	0.236
"214"	0.3816
"215"	0.3554
"216"	0.5522
"217"	0.71539998
"218"	0.6748
"219"	0.82299998
"220"	0.512
"221"	0.509
"222"	0.5316
"223"	0.569
"224"	0.4386
"225"	0.3726
"226"	0.5862
"227"	0.67459998
"228"	0.6308
"229"	0.6964
"230"	0.6822
"231"	0.4616
"232"	0.6046
"233"	0.5812
"234"	0.6768
"235"	0.442
"236"	0.5598
"237"	0.52739998
"238"	0.4546
"239"	0.4914
"240"	0.4876
"241"	0.3836
"242"	0.5912
"243"	0.4676
"244"	0.2936
"245"	0.32999998
"246"	0.2556
"247"	0.2288
"248"	0.2212
"249"	0.2294
"250"	0.2208
"251"	0.226
"252"	0.2186
"253"	0.2328
"254"	0.2488
"255"	0.2894
"256"	0.2586
"257"	0.2638
"258"	0.2412
"259"	0.3088
"260"	0.3106
"261"	0.3882
"262"	0.4956
"263"	0.63859996
"264"	0.4516
"265"	0.42059998
"266"	0.5174
"267"	0.51760002
"268"	0.5028
"269"	0.4772
"270"	0.3818
"271"	0.4066
"272"	0.3838
"273"	0.481
"274"	0.6232
"275"	0.78240002
"276"	0.8076
"277"	0.89960002
"278"	0.6808
"279"	0.6864
"280"	0.99400002
"281"	0.926
"282"	0.7716
"283"	0.6282
"284"	0.97540002
