""	"x"
"1"	0.1568
"2"	0.1106
"3"	0.0999
"4"	0.0841
"5"	0.0714
"6"	0.0753
"7"	0.0597
"8"	0.0553
"9"	0.0674
"10"	0.0715
"11"	0.0646
"12"	0.069
"13"	0.0708
"14"	0.0707
"15"	0.089
"16"	0.082
"17"	0.1021
"18"	0.1349
"19"	0.1583
"20"	0.0924
"21"	0.1108
"22"	0.21040001
"23"	0.1701
"24"	0.2552
"25"	0.2502
"26"	0.3511
"27"	0.1225
"28"	0.1161
"29"	0.1066
"30"	0.1949
"31"	0.1196
"32"	0.219
"33"	0.2398
"34"	0.2561
"35"	0.30359999
"36"	0.4083
"37"	0.3488
"38"	0.2823
"39"	0.3987
"40"	0.2842
"41"	0.2131
"42"	0.2389
"43"	0.2369
"44"	0.2119
"45"	0.256
"46"	0.21
"47"	0.2019
"48"	0.0951
"49"	0.065
"50"	0.0605
"51"	0.0677
"52"	0.0707
"53"	0.0655
"54"	0.0577
"55"	0.0501
"56"	0.0689
"57"	0.0658
"58"	0.065
"59"	0.05
"60"	0.0642
"61"	0.0619
"62"	0.1084
"63"	0.1001
"64"	0.2016
"65"	0.1914
"66"	0.1737
"67"	0.1675
"68"	0.1142
"69"	0.2194
"70"	0.1833
"71"	0.1502
"72"	0.1225
"73"	0.17
"74"	0.1943
"75"	0.44959999
"76"	0.1508
"77"	0.1075
"78"	0.1314
"79"	0.1011
"80"	0.1348
"81"	0.1151
"82"	0.1227
"83"	0.1384
"84"	0.191
"85"	0.1963
"86"	0.35790001
"87"	0.3051
"88"	0.3277
"89"	0.2301
"90"	0.2301
"91"	0.3499
"92"	0.3775
"93"	0.2241
"94"	0.3111
"95"	0.1504
"96"	0.1225
"97"	0.0959
"98"	0.0799
"99"	0.0716
"100"	0.0783
"101"	0.0832
"102"	0.077
"103"	0.0559
"104"	0.0711
"105"	0.073
"106"	0.0741
"107"	0.0719
"108"	0.0949
"109"	0.0837
"110"	0.0861
"111"	0.1102
"112"	0.1984
"113"	0.1484
"114"	0.1114
"115"	0.115
"116"	0.1816
"117"	0.1456
"118"	0.152
"119"	0.0767
"120"	0.1668
"121"	0.132
"122"	0.1275
"123"	0.1118
"124"	0.1523
"125"	0.0896
"126"	0.1014
"127"	0.1159
"128"	0.1075
"129"	0.1157
"130"	0.1285
"131"	0.2213
"132"	0.3331
"133"	0.2949
"134"	0.3576
"135"	0.29860001
"136"	0.2769
"137"	0.2541
"138"	0.2222
"139"	0.2796
"140"	0.2792
"141"	0.2355
"142"	0.2198
"143"	0.1493
"144"	0.1018
"145"	0.0734
"146"	0.0677
"147"	0.0649
"148"	0.062
"149"	0.0587
"150"	0.0594
"151"	0.0636
"152"	0.0695
"153"	0.0537
"154"	0.0612
"155"	0.0641
"156"	0.086
"157"	0.0815
"158"	0.0915
"159"	0.1083
"160"	0.1904
"161"	0.1823
"162"	0.2395
