""	"x"
"1"	0.21828
"2"	0.19644
"3"	0.20228
"4"	0.205559998
"5"	0.16468
"6"	0.14412
"7"	0.1419
"8"	0.13612
"9"	0.10594
"10"	0.1002
"11"	0.1017
"12"	0.11262
"13"	0.11432
"14"	0.11222
"15"	0.12924
"16"	0.12946
"17"	0.12188
"18"	0.14958
"19"	0.16716
"20"	0.17746
"21"	0.19262
"22"	0.19846
"23"	0.22
"24"	0.25408
"25"	0.22456
"26"	0.24726
"27"	0.24416
"28"	0.24988
"29"	0.280280002
"30"	0.25086
"31"	0.273020002
"32"	0.30056
"33"	0.31562
"34"	0.319060002
"35"	0.30252
"36"	0.309820002
"37"	0.30728
"38"	0.3194
"39"	0.36138
"40"	0.40458
"41"	0.4241
"42"	0.34324
"43"	0.39112
"44"	0.3167
"45"	0.31314
"46"	0.25924
"47"	0.271
"48"	0.2181
"49"	0.22814
"50"	0.18968
"51"	0.16886
"52"	0.156579998
"53"	0.11778
"54"	0.11614
"55"	0.1184
"56"	0.1153
"57"	0.12008
"58"	0.11204
"59"	0.11686
"60"	0.11088
"61"	0.15058
"62"	0.172480002
"63"	0.15654
"64"	0.20308
"65"	0.21396
"66"	0.201579998
"67"	0.215340002
"68"	0.1935
"69"	0.22282
"70"	0.23224
"71"	0.25858
"72"	0.24786
"73"	0.2126
"74"	0.25534
"75"	0.2689
"76"	0.27904
"77"	0.248980002
"78"	0.21546
"79"	0.23214
"80"	0.2389
"81"	0.279499998
"82"	0.27586
"83"	0.31244
"84"	0.339539998
"85"	0.36166
"86"	0.393660002
"87"	0.38718
"88"	0.349720002
"89"	0.33674
"90"	0.348920002
"91"	0.32624
"92"	0.33102
"93"	0.320079998
"94"	0.394740002
"95"	0.32708
"96"	0.25288
"97"	0.298439998
"98"	0.20418
"99"	0.173580002
"100"	0.1332
"101"	0.10812
"102"	0.10998
"103"	0.126820002
"104"	0.1225
"105"	0.10084
"106"	0.11562
"107"	0.09516
"108"	0.09976
"109"	0.12418
"110"	0.15918
"111"	0.15816
"112"	0.1905
"113"	0.24698
"114"	0.235180002
"115"	0.22774
"116"	0.29784
"117"	0.2288
"118"	0.20802
"119"	0.22238
"120"	0.295479998
"121"	0.284379996
"122"	0.24892
"123"	0.32462
"124"	0.27262
"125"	0.25126
"126"	0.21626
"127"	0.20588
"128"	0.21036
"129"	0.25738
"130"	0.25408
"131"	0.28774
"132"	0.343460002
"133"	0.322560002
"134"	0.392159998
"135"	0.432560002
"136"	0.397880002
"137"	0.38592
"138"	0.34306
"139"	0.30104
"140"	0.30524
"141"	0.30658
"142"	0.307
"143"	0.26978
"144"	0.24118
"145"	0.241440002
"146"	0.19292
"147"	0.172380002
"148"	0.162360002
"149"	0.162179998
"150"	0.160700002
"151"	0.14446
"152"	0.111
"153"	0.1179
"154"	0.12598
"155"	0.1105
"156"	0.12452
"157"	0.1386
"158"	0.14952
"159"	0.1628
"160"	0.19256
"161"	0.233500002
"162"	0.21814
"163"	0.24628
"164"	0.31698
"165"	0.29104
"166"	0.23764
"167"	0.22932
"168"	0.23432
"169"	0.24984
"170"	0.21466
"171"	0.20864
"172"	0.268040002
"173"	0.327680002
"174"	0.2866
"175"	0.264860002
"176"	0.24376
"177"	0.250799998
"178"	0.2547
"179"	0.26148
"180"	0.23684
"181"	0.2789
"182"	0.33522
"183"	0.352640002
"184"	0.367900002
"185"	0.424300002
"186"	0.34868
"187"	0.311160002
"188"	0.29228
"189"	0.29332
"190"	0.29448
"191"	0.29796
"192"	0.23794
"193"	0.256380002
