""	"x"
"1"	0.183147481555166
"2"	0.234949639994049
"3"	0.603425557104329
"4"	0.710856056690335
"5"	0.228342578888243
"6"	0.0944475162899127
"7"	0.0850176452273291
"8"	0.0920814856526544
"9"	0.0836918952667063
"10"	0.0589236794506249
"11"	0.085231058501777
"12"	0.0782325592917254
"13"	0.0668904577150832
"14"	0.0629629520697158
"15"	0.0933613053322057
"16"	0.0833546639366988
"17"	0.106142985323258
"18"	0.0865582655402321
"19"	0.106714572575633
"20"	0.122094225907698
"21"	0.060351746729762
"22"	0.02
"23"	0.0650461374717977
"24"	0.107723411259268
"25"	0.129742051779675
"26"	0.106719257868484
"27"	0.0915113836270293
"28"	0.133551488198372
"29"	0.0578186821018951
"30"	0.10971326264404
"31"	0.030347981810987
"32"	0.0475078940808788
"33"	0.45350082690112
"34"	0.515582195192968
"35"	0.118428600149345
"36"	0.152582218273734
"37"	0.404681356130969
"38"	0.351619112108543
"39"	0.300013888567402
"40"	0.225633183138769
"41"	0.150540138612044
"42"	0.156461922950389
"43"	0.203838988746837
"44"	0.19058418962058
"45"	0.213621940196538
"46"	0.243812086110048
"47"	0.245059856633708
"48"	0.17229141979023
"49"	0.0895786432880814
"50"	0.0847879708449259
"51"	0.0638931399551887
"52"	0.0866544863235597
"53"	0.074466994926164
"54"	0.0756240702422185
"55"	0.0849646985518103
"56"	0.0865582655402321
"57"	0.0807279381626956
"58"	0.0772031950979578
"59"	0.0713956114430945
"60"	0.0738985791473693
"61"	0.0625246618010312
"62"	0.0552207690396768
"63"	0.113983916994168
"64"	0.143029134561226
"65"	0.130215206485264
"66"	0.0455302097513288
"67"	0.0635164020811423
"68"	0.0509542278258962
"69"	0.0261023626006025
"70"	0.0490340018082691
"71"	0.0351330803279948
"72"	0.00493288286231625
"73"	0.319033436074236
"74"	0.067
"75"	0.0199749843554382
"76"	0.249465428466551
"77"	0.0945110222848813
"78"	0.0550181788139157
"79"	0.0520032050294338
"80"	0.0545191097995311
"81"	0.718657080950296
"82"	0.476355259583993
"83"	0.0221885856541902
"84"	0.0505206228517952
"85"	0.0146401275039985
"86"	0.0772528316633119
"87"	0.067159015279658
"88"	0.0801311425102625
"89"	0.128149652099931
"90"	0.123413937624565
"91"	0.14609699974104
"92"	0.129252981912733
"93"	0.0520288381573142
"94"	0.0634980314655502
