""	"x"
"1"	0.1175
"2"	0.111
"3"	0.135
"4"	0.1115
"5"	0.105
"6"	0.127
"7"	0.1095
"8"	0.107
"9"	0.128
"10"	0.112
"11"	0.1705
"12"	0.2
"13"	0.1665
"14"	0.1605
"15"	0.1355
"16"	0.2195
"17"	0.14
"18"	0.14
"19"	0.115
"20"	0.276
"21"	0.1925
"22"	0.148
"23"	0.235
"24"	0.31
"25"	0.159
"26"	0.1525
"27"	0.6365
"28"	0.2225
"29"	0.292
"30"	0.235
"31"	0.2135
"32"	0.1565
"33"	0.2055
"34"	0.151
"35"	0.1895
"36"	0.165
"37"	0.3435
"38"	0.322
"39"	0.278
"40"	0.6905
"41"	0.2375
"42"	0.2355
"43"	0.206
"44"	0.2455
"45"	0.208
"46"	0.209
"47"	0.122
"48"	0.1285
"49"	0.1245
"50"	0.1165
"51"	0.129
"52"	0.1165
"53"	0.113
"54"	0.141
"55"	0.136
"56"	0.104
"57"	0.1385
"58"	0.1185
"59"	0.1355
"60"	0.1365
"61"	0.122
"62"	0.1275
"63"	0.1035
"64"	0.15
"65"	0.187
"66"	0.167
"67"	0.2735
"68"	0.2755
"69"	0.853
"70"	0.302
"71"	0.284
"72"	0.21
"73"	0.1775
"74"	0.18
"75"	0.1415
"76"	0.2185
"77"	0.3085
"78"	0.212
"79"	0.163
"80"	0.1525
"81"	0.1785
"82"	0.1535
"83"	0.1475
"84"	0.183
"85"	0.1245
"86"	0.62150005
"87"	0.501
"88"	0.4755
"89"	0.2735
"90"	0.1565
"91"	0.222
"92"	0.224
"93"	0.1685
"94"	0.146
"95"	0.1135
"96"	0.1205
"97"	0.124
"98"	0.11
"99"	0.1315
"100"	0.1105
"101"	0.0995
"102"	0.135
"103"	0.109
"104"	0.1015
"105"	0.1305
"106"	0.1155
"107"	0.1245
"108"	0.144
"109"	0.187
"110"	0.1965
"111"	0.158
"112"	0.1355
"113"	0.122
"114"	0.289
"115"	0.5325
"116"	0.233
"117"	0.3165
"118"	0.14
"119"	0.1595
"120"	0.13
"121"	0.1255
"122"	0.1585
"123"	0.301
"124"	0.185
"125"	0.2855
"126"	0.259
"127"	0.1775
"128"	0.143
"129"	0.2175
"130"	0.1395
"131"	0.1255
"132"	0.2165
"133"	0.333
"134"	0.562
"135"	0.352
"136"	0.213
"137"	0.1925
"138"	0.198
"139"	0.1895
"140"	0.1755
"141"	0.1895
"142"	0.2385
"143"	0.1355
"144"	0.135
"145"	0.1185
"146"	0.1325
"147"	0.1155
"148"	0.109
"149"	0.136
"150"	0.11
"151"	0.1085
"152"	0.128
"153"	0.1055
"154"	0.1685
"155"	0.1445
"156"	0.126
"157"	0.123
"158"	0.145
"159"	0.151
"160"	0.1145
"161"	0.1695
"162"	0.3795
"163"	0.2145
"164"	0.443
"165"	0.3945
"166"	0.2535
"167"	0.175
"168"	0.194
"169"	0.19
"170"	0.173
"171"	0.166
"172"	0.2195
"173"	0.1875
"174"	0.178
"175"	0.1635
"176"	0.1405
"177"	0.157
"178"	0.1385
"179"	0.156
"180"	0.1725
"181"	0.241
"182"	0.323
"183"	0.311
"184"	0.238
"185"	0.2485
"186"	0.203
"187"	0.2575
"188"	0.203
"189"	0.2105
"190"	0.2055
"191"	0.1515
"192"	0.1515
"193"	0.1425
"194"	0.186
"195"	0.141
"196"	0.1175
"197"	0.1365
"198"	0.121
"199"	0.1095
"200"	0.133
"201"	0.113
"202"	0.1425
"203"	0.1255
"204"	0.135
"205"	0.192
"206"	0.1755
"207"	0.132
"208"	0.1185
"209"	0.248
"210"	0.151
"211"	0.4305
"212"	0.5095
"213"	0.3105
"214"	0.3385
"215"	0.234
"216"	0.1905
"217"	0.232
"218"	0.1555
"219"	0.1785
"220"	0.2865
"221"	0.297
"222"	0.2915
"223"	0.231
"224"	0.163
"225"	0.211
"226"	0.1825
"227"	0.1735
"228"	0.1675
"229"	0.209
"230"	0.341
"231"	0.278
"232"	0.298
"233"	0.2745
"234"	0.3
"235"	0.298
"236"	0.2855
"237"	0.252
"238"	0.2485
"239"	0.2675
"240"	0.163
"241"	0.144
"242"	0.14
"243"	0.139
"244"	0.136
"245"	0.1365
"246"	0.1325
"247"	0.1355
"248"	0.137
"249"	0.137
"250"	0.144
"251"	0.1345
"252"	0.15
"253"	0.137
