""	"x"
"1"	0.2652849995
"2"	0.248615
"3"	0.2497149995
"4"	0.228585001
"5"	0.200365
"6"	0.173615
"7"	0.163245
"8"	0.1539950005
"9"	0.1381400005
"10"	0.1311700005
"11"	0.127845
"12"	0.1310550005
"13"	0.13981
"14"	0.13359
"15"	0.15367
"16"	0.15297
"17"	0.15719
"18"	0.1985699995
"19"	0.207294999
"20"	0.19809
"21"	0.212225
"22"	0.2299599995
"23"	0.22172
"24"	0.2416549995
"25"	0.270865
"26"	0.2699050005
"27"	0.263340001
"28"	0.254575
"29"	0.2416550015
"30"	0.2710300015
"31"	0.2699400005
"32"	0.298800001
"33"	0.306499999
"34"	0.311139999
"35"	0.356914999
"36"	0.4069850015
"37"	0.3622100005
"38"	0.3914500005
"39"	0.419030002
"40"	0.41134
"41"	0.3960999985
"42"	0.364305
"43"	0.3751399985
"44"	0.3494549995
"45"	0.3345049985
"46"	0.3162700015
"47"	0.298805001
"48"	0.2663499995
"49"	0.250125
"50"	0.2244350005
"51"	0.2136650005
"52"	0.2002350005
"53"	0.1665800005
"54"	0.1528849995
"55"	0.15368
"56"	0.1528950005
"57"	0.1475949995
"58"	0.14426
"59"	0.138345
"60"	0.1499949995
"61"	0.162165
"62"	0.179445001
"63"	0.185575
"64"	0.2218150005
"65"	0.2170749995
"66"	0.2565899985
"67"	0.239455001
"68"	0.245845
"69"	0.266955001
"70"	0.26387
"71"	0.2521699995
"72"	0.2634250015
"73"	0.253235
"74"	0.2666200005
"75"	0.2755399995
"76"	0.2811900005
"77"	0.2681550005
"78"	0.271269999
"79"	0.26477
"80"	0.322219998
"81"	0.321324998
"82"	0.334360001
"83"	0.358189998
"84"	0.3739
"85"	0.3873700015
"86"	0.3869850015
"87"	0.380105
"88"	0.3976350005
"89"	0.403690001
"90"	0.381165
"91"	0.3978499995
"92"	0.3890450005
"93"	0.3397999995
"94"	0.36844
"95"	0.3098400005
"96"	0.267755
"97"	0.27235
"98"	0.2267049995
"99"	0.209555
"100"	0.18442
"101"	0.166359999
"102"	0.1504500005
"103"	0.144235001
"104"	0.139075
"105"	0.1358899995
"106"	0.134985
"107"	0.12995
"108"	0.13533
"109"	0.15053
"110"	0.180835
"111"	0.189855
"112"	0.221330001
"113"	0.2422650005
"114"	0.238385
"115"	0.2271099995
"116"	0.2466649995
"117"	0.232325
"118"	0.258835
"119"	0.246165
"120"	0.288669999
"121"	0.2819250005
"122"	0.2729849995
"123"	0.2556999995
"124"	0.2352950005
"125"	0.225695
"126"	0.2663050005
"127"	0.25963
"128"	0.2695099995
"129"	0.281875001
"130"	0.3095049985
"131"	0.343225
"132"	0.3899250005
"133"	0.376505
"134"	0.3904499995
"135"	0.4015249995
"136"	0.39888
"137"	0.397319999
"138"	0.362175
"139"	0.351375
"140"	0.3611299995
"141"	0.349715001
"142"	0.31622
"143"	0.2940299985
"144"	0.2720649995
"145"	0.277425001
"146"	0.2353100005
"147"	0.207670001
"148"	0.192415001
"149"	0.1642799995
"150"	0.156210001
"151"	0.141035
"152"	0.13139
"153"	0.135305
"154"	0.13843
"155"	0.1333499995
"156"	0.13495
"157"	0.145145
"158"	0.158875
"159"	0.1781300005
"160"	0.202004999
"161"	0.2273900005
"162"	0.2151999995
"163"	0.2369199995
"164"	0.24424
"165"	0.24221
"166"	0.233889999
"167"	0.234864999
"168"	0.254955
"169"	0.241850001
"170"	0.2386450005
"171"	0.2276949995
"172"	0.25927
"173"	0.2694550005
"174"	0.255445
"175"	0.2513449995
"176"	0.2499250005
"177"	0.2909749995
"178"	0.2931499995
"179"	0.292989999
"180"	0.2997400015
"181"	0.3470500005
"182"	0.37497
"183"	0.3887499985
"184"	0.373464999
"185"	0.400235001
"186"	0.365769999
"187"	0.353865
"188"	0.332424999
"189"	0.3244700005
"190"	0.3151850005
"191"	0.310285
"192"	0.263449999
"193"	0.26185
"194"	0.2306550005
"195"	0.21343
"196"	0.1985500005
"197"	0.160189999
"198"	0.149135
"199"	0.1391549995
"200"	0.134195
"201"	0.120425
"202"	0.118725
"203"	0.11993
"204"	0.12436
"205"	0.1246099995
"206"	0.1586949995
"207"	0.1560450005
"208"	0.155845
"209"	0.188239999
"210"	0.231019999
"211"	0.2410600005
"212"	0.2135099995
"213"	0.230485
"214"	0.25484
"215"	0.2626450005
"216"	0.3005300005
"217"	0.2998899995
"218"	0.2899600005
"219"	0.3315249985
"220"	0.3084850005
"221"	0.2933749995
"222"	0.2833000005
"223"	0.307210002
"224"	0.2661850005
"225"	0.2955449995
"226"	0.3313850005
"227"	0.3439099995
"228"	0.3833600005
"229"	0.3816400005
"230"	0.4122899985
"231"	0.3981399995
"232"	0.3896349995
"233"	0.3815800015
"234"	0.351310001
"235"	0.3449550005
"236"	0.333699999
"237"	0.3136149995
"238"	0.3045750005
"239"	0.2846600005
"240"	0.273875
"241"	0.2967450005
"242"	0.2860550015
"243"	0.243065
"244"	0.20577
"245"	0.174299999
"246"	0.1683250005
"247"	0.147795
"248"	0.1310599995
"249"	0.125865
"250"	0.13278
"251"	0.123895
"252"	0.12726
"253"	0.13821
"254"	0.140205
"255"	0.15285
"256"	0.16025
"257"	0.189205
"258"	0.226715
"259"	0.2495150005
"260"	0.26457
"261"	0.2794649995
"262"	0.29318
"263"	0.301515
"264"	0.3112500005
"265"	0.315150001
"266"	0.3152349985
"267"	0.333279999
"268"	0.3162350005
"269"	0.322345
"270"	0.3032200005
"271"	0.3462750005
"272"	0.3292449995
"273"	0.33795
"274"	0.326755
"275"	0.385010001
"276"	0.408375001
"277"	0.418459999
"278"	0.418390001
"279"	0.4205799995
"280"	0.4387550005
"281"	0.43234
"282"	0.4086049995
"283"	0.3819300005
"284"	0.3593500005
"285"	0.332235001
"286"	0.31544
"287"	0.3041550005
"288"	0.26762
"289"	0.2568500005
"290"	0.208605
"291"	0.1859999995
"292"	0.1717400005
"293"	0.1510600005
"294"	0.1274050005
"295"	0.1320149995
"296"	0.12566
"297"	0.113615
"298"	0.116015
"299"	0.1229850005
"300"	0.126045
"301"	0.14165
"302"	0.1711699995
"303"	0.196565
"304"	0.2328149995
"305"	0.228815
"306"	0.2526299995
"307"	0.2342100005
"308"	0.2531499995
"309"	0.2573899995
"310"	0.2541000005
"311"	0.2626099995
"312"	0.262595
"313"	0.272015
"314"	0.287395
"315"	0.271245
"316"	0.2663449995
"317"	0.2900749995
"318"	0.310209999
"319"	0.284294999
"320"	0.257955
"321"	0.304775001
"322"	0.3236149995
"323"	0.3901750025
"324"	0.37844
"325"	0.3661600005
"326"	0.3899900015
"327"	0.421255
"328"	0.411015001
"329"	0.4149699995
"330"	0.398645
"331"	0.406074998
"332"	0.4007900005
"333"	0.3582049985
"334"	0.35156
"335"	0.2857149995
"336"	0.25885
"337"	0.246834999
"338"	0.212815
"339"	0.185619999
"340"	0.1644
"341"	0.15018
"342"	0.1495300005
"343"	0.135475
"344"	0.11436
"345"	0.12766
"346"	0.11545
"347"	0.12423
"348"	0.12921
"349"	0.1413199995
"350"	0.186535
"351"	0.241735
"352"	0.27957
"353"	0.2912600015
"354"	0.2857200005
"355"	0.25079
"356"	0.2380500005
"357"	0.21729
"358"	0.2297749995
"359"	0.24862
"360"	0.239700001
"361"	0.254875
"362"	0.2375450005
"363"	0.260775001
"364"	0.22825
"365"	0.2276649985
"366"	0.208815001
"367"	0.22225
"368"	0.2259899995
"369"	0.266715
"370"	0.2924600015
"371"	0.32105
"372"	0.3562699985
"373"	0.4023300005
"374"	0.3942700005
"375"	0.412230001
"376"	0.4011399995
"377"	0.394284999
"378"	0.4061050005
"379"	0.409739999
"380"	0.381635001
"381"	0.372309999
"382"	0.3457650005
"383"	0.289360001
"384"	0.228785
"385"	0.243149999
"386"	0.210765
"387"	0.189789999
"388"	0.1776449995
"389"	0.147955001
"390"	0.12614
"391"	0.135065
"392"	0.1247249995
"393"	0.13297
"394"	0.12392
"395"	0.1181100005
"396"	0.130985
"397"	0.150105
"398"	0.167775
"399"	0.2485649995
"400"	0.275965
"401"	0.3040550015
"402"	0.26672
"403"	0.23666
"404"	0.24728
"405"	0.240800001
"406"	0.2361599995
"407"	0.2232799995
"408"	0.220595001
"409"	0.22027
"410"	0.198225
"411"	0.20152
"412"	0.20515
"413"	0.220475
"414"	0.215499999
"415"	0.2138449995
"416"	0.1919850005
"417"	0.22815
"418"	0.2671900015
"419"	0.2874049995
"420"	0.3226399995
"421"	0.359840001
"422"	0.4012850005
"423"	0.4006950005
"424"	0.3993849995
"425"	0.424645001
"426"	0.400305002
"427"	0.3851900005
"428"	0.35984
"429"	0.3346100015
"430"	0.314529999
"431"	0.2954750005
"432"	0.2587599995
"433"	0.231085001
"434"	0.2126549995
"435"	0.2022800005
"436"	0.193415
"437"	0.1664449995
"438"	0.1534949995
"439"	0.1502899995
"440"	0.135605
"441"	0.138315
"442"	0.134165
"443"	0.1390449995
"444"	0.156554999
"445"	0.1702000005
"446"	0.208825
"447"	0.22872
"448"	0.2720249995
"449"	0.317655
"450"	0.290309999
"451"	0.2677849995
"452"	0.2942000005
"453"	0.271149999
"454"	0.2476150015
"455"	0.2490350015
"456"	0.255225
"457"	0.292045
"458"	0.2923700015
"459"	0.284009999
"460"	0.2659249995
"461"	0.2726650005
"462"	0.24714
"463"	0.2409999995
"464"	0.2350300005
"465"	0.2885349995
"466"	0.3126199975
"467"	0.349239999
"468"	0.3847599995
"469"	0.4140050005
"470"	0.455014999
"471"	0.43379
"472"	0.4338999985
"473"	0.42623
"474"	0.4092999995
"475"	0.385439999
"476"	0.379435001
"477"	0.3543599995
"478"	0.342035
"479"	0.3353100005
"480"	0.266445001
"481"	0.248210001
"482"	0.222055
"483"	0.2004550015
"484"	0.1881699995
"485"	0.176494999
"486"	0.149324999
"487"	0.1464050005
"488"	0.135515
"489"	0.136745
"490"	0.12916
"491"	0.1394449995
"492"	0.144425
"493"	0.173455
"494"	0.190865
"495"	0.229919999
"496"	0.28816
"497"	0.2996550005
"498"	0.300674999
"499"	0.273705
"500"	0.285684999
"501"	0.2603650005
"502"	0.2584099995
"503"	0.2809849995
"504"	0.2535299995
"505"	0.2496400005
"506"	0.2534550005
"507"	0.2397700005
"508"	0.2580350005
"509"	0.243434999
