""	"x"
"1"	0.0155114189227863
"2"	0.0247266899433347
"3"	0.0285616163928796
"4"	0.165760402953466
"5"	0.028332665560071
"6"	0.00177436895426707
"7"	0.00400663957415145
"8"	0.000286188541010818
"9"	0.0313090263865835
"10"	0.00349150020033198
"11"	0.165645927537061
"12"	0.0143094270505409
"13"	0.000744090206628127
"14"	0.0294774197241142
"15"	0.0269017228550169
"16"	0.0214069028676092
"17"	0.00206055749527789
"18"	0.00366321332493847
"19"	0.0379486005380345
"20"	0.00618167248583367
"21"	NA
"22"	0.00274740999370385
"23"	0.119626810142522
"24"	0.0278175261862515
"25"	0.000228950832808654
