""	"x"
"1"	0.342359996
"2"	0.33192
"3"	0.366639996
"4"	0.31312
"5"	0.2254
"6"	0.15304
"7"	0.10876
"8"	0.14676
"9"	0.12732
"10"	0.158
"11"	0.1174
"12"	0.1046
"13"	0.15784
"14"	0.14548
"15"	0.1838
"16"	0.16024
"17"	0.18148
"18"	0.22116
"19"	0.24376
"20"	0.25112
"21"	0.25864
"22"	0.24776
"23"	0.35944
"24"	0.318879996
"25"	0.29496
"26"	0.30088
"27"	0.344280004
"28"	0.32684
"29"	0.25748
"30"	0.21672
"31"	0.226400004
"32"	0.20628
"33"	0.24644
"34"	0.22348
"35"	0.33748
"36"	0.390640004
"37"	0.29904
"38"	0.35704
"39"	0.392760004
"40"	0.4078
"41"	0.46664
"42"	0.348759996
"43"	0.39036
"44"	0.39224
"45"	0.3586
"46"	0.31488
"47"	0.29044
"48"	0.2566
"49"	0.35808
"50"	0.333279996
"51"	0.287279996
"52"	0.24008
"53"	0.23228
"54"	0.14476
"55"	0.18164
"56"	0.16752
"57"	0.14332
"58"	0.18644
"59"	0.14636
"60"	0.16712
"61"	0.201
"62"	0.2322
"63"	0.18156
"64"	0.20756
"65"	0.24488
"66"	0.22068
"67"	0.23804
"68"	0.313319996
"69"	0.327840004
"70"	0.2834
"71"	0.3132
"72"	0.32832
"73"	0.422560004
"74"	0.43956
"75"	0.398280004
"76"	0.362520004
"77"	0.22816
"78"	0.30344
"79"	0.28144
"80"	0.33236
"81"	0.282799996
"82"	0.30332
"83"	0.336
"84"	0.3594
"85"	0.416080004
"86"	0.47684
"87"	0.404999996
"88"	0.429480004
"89"	0.51644
"90"	0.36008
"91"	0.396519996
"92"	0.389279996
"93"	0.40328
"94"	0.31512
"95"	0.31576
"96"	0.26888
"97"	0.381839996
"98"	0.30408
"99"	0.27096
"100"	0.283959996
"101"	0.220199996
"102"	0.206360004
"103"	0.15492
"104"	0.16936
"105"	0.13876
"106"	0.1116
"107"	0.1278
"108"	0.176879996
"109"	0.203360004
"110"	0.20944
"111"	0.172960004
"112"	0.21308
"113"	0.18924
"114"	0.22392
"115"	0.22168
"116"	0.32992
"117"	0.29388
"118"	0.24624
"119"	0.266480004
"120"	0.33408
"121"	0.331000004
"122"	0.27096
"123"	0.29616
"124"	0.2546
"125"	0.29548
"126"	0.335720004
"127"	0.27072
"128"	0.27808
"129"	0.22556
"130"	0.29124
"131"	0.32232
"132"	0.3938
"133"	0.33832
"134"	0.3892
"135"	0.40728
"136"	0.45216
"137"	0.472239996
"138"	0.2932
"139"	0.28024
"140"	0.28592
"141"	0.33324
"142"	0.34152
"143"	0.273719996
"144"	0.28444
"145"	0.443799996
"146"	0.343799996
"147"	0.301399996
"148"	0.29344
"149"	0.19344
"150"	0.19356
"151"	0.13196
"152"	0.14468
"153"	0.1936
"154"	0.15652
"155"	0.15264
"156"	0.14988
"157"	0.21932
"158"	0.25964
"159"	0.21016
"160"	0.22004
"161"	0.23608
"162"	0.26616
"163"	0.30072
"164"	0.28672
"165"	0.27972
"166"	0.27172
"167"	0.325199996
"168"	0.3666
"169"	0.287560004
"170"	0.27152
"171"	0.22448
"172"	0.17804
"173"	0.21972
"174"	0.17796
"175"	0.239399996
"176"	0.28632
"177"	0.24856
"178"	0.28096
"179"	0.24316
"180"	0.299080004
"181"	0.356440008
"182"	0.340040004
"183"	0.503839996
"184"	0.4422
"185"	0.41136
"186"	0.34416
"187"	0.35948
"188"	0.28432
"189"	0.300880004
"190"	0.30936
"191"	0.3086
"192"	0.2534
"193"	0.355960004
"194"	0.343320004
"195"	0.33392
"196"	0.274840004
"197"	0.1824
"198"	0.13628
"199"	0.10372
"200"	0.14888
"201"	0.11596
"202"	0.13996
"203"	0.10836
"204"	0.10348
"205"	0.14444
"206"	0.18436
"207"	0.210600004
"208"	0.15336
"209"	0.18568
"210"	0.21732
"211"	0.24708
"212"	0.2482
"213"	0.28508
"214"	0.27808
"215"	0.31724
"216"	0.36016
"217"	0.36128
"218"	0.342560004
"219"	0.402639996
"220"	0.23264
"221"	0.285
"222"	0.28776
"223"	0.300120004
"224"	0.22736
"225"	0.21084
"226"	0.318440008
"227"	0.3352
"228"	0.36408
"229"	0.36392
"230"	0.44844
"231"	0.432959996
"232"	0.36096
"233"	0.33132
"234"	0.29676
"235"	0.320280004
"236"	0.33428
"237"	0.2724
"238"	0.23452
"239"	0.23112
"240"	0.22448
"241"	0.347679996
"242"	0.43076
"243"	0.373720004
"244"	0.22364
"245"	0.164119996
"246"	0.171840004
"247"	0.10284
"248"	0.10104
"249"	0.150559996
"250"	0.10348
"251"	0.10796
"252"	0.11408
"253"	0.2228
"254"	0.15464
"255"	0.13444
"256"	0.13284
"257"	0.17292
"258"	0.29252
"259"	0.24444
"260"	0.24752
"261"	0.35012
"262"	0.31548
"263"	0.354399996
"264"	0.34684
"265"	0.409760004
"266"	0.38956
"267"	0.320200004
"268"	0.28412
"269"	0.31276
"270"	0.3
"271"	0.36236
"272"	0.3086
"273"	0.30492
"274"	0.345
"275"	0.31484
"276"	0.36616
"277"	0.447439996
"278"	0.41032
"279"	0.395799996
"280"	0.33636
"281"	0.359
"282"	0.32444
"283"	0.30312
"284"	0.32664
"285"	0.28856
"286"	0.2502
"287"	0.28596
"288"	0.28044
"289"	0.38812
"290"	0.33212
"291"	0.283199996
"292"	0.21432
"293"	0.18452
"294"	0.159840004
"295"	0.12624
"296"	0.15424
"297"	0.1018
"298"	0.1176
"299"	0.15568
"300"	0.12608
"301"	0.12912
"302"	0.1826
"303"	0.1844
"304"	0.208839996
"305"	0.19804
"306"	0.2378
"307"	0.22824
"308"	0.30668
"309"	0.3076
"310"	0.2828
"311"	0.337120004
"312"	0.315919996
"313"	0.34864
"314"	0.41896
"315"	0.31112
"316"	0.2096
"317"	0.2462
"318"	0.23592
"319"	0.26176
"320"	0.20684
"321"	0.26408
"322"	0.28892
"323"	0.331
"324"	0.34292
"325"	0.32224
"326"	0.36228
"327"	0.4096
"328"	0.3362
"329"	0.340719996
"330"	0.37352
"331"	0.3832
"332"	0.446720004
"333"	0.40024
"334"	0.34596
"335"	0.28544
"336"	0.29472
"337"	0.374320004
"338"	0.323879996
"339"	0.271159996
"340"	0.250880004
"341"	0.17464
"342"	0.16568
"343"	0.09992
"344"	0.1108
"345"	0.150040004
"346"	0.14024
"347"	0.14876
"348"	0.11388
"349"	0.1246
"350"	0.21932
"351"	0.2148
"352"	0.25604
"353"	0.288920004
"354"	0.291400004
"355"	0.25728
"356"	0.22648
"357"	0.22672
"358"	0.20112
"359"	0.18532
"360"	0.2114
"361"	0.1976
"362"	0.17896
"363"	0.251920004
"364"	0.19132
"365"	0.147
"366"	0.15528
"367"	0.19984
"368"	0.15004
"369"	0.22268
"370"	0.2202
"371"	0.2422
"372"	0.27584
"373"	0.34348
"374"	0.3506
"375"	0.41148
"376"	0.34652
"377"	0.432680008
"378"	0.36476
"379"	0.30948
"380"	0.376080004
"381"	0.36568
"382"	0.337
"383"	0.28028
"384"	0.24344
"385"	0.421480004
"386"	0.36748
"387"	0.29064
"388"	0.26792
"389"	0.131
"390"	0.1282
"391"	0.099
"392"	0.12976
"393"	0.17068
"394"	0.1458
"395"	0.11084
"396"	0.10888
"397"	0.12744
"398"	0.2078
"399"	0.17104
"400"	0.2042
"401"	0.27748
"402"	0.2782
"403"	0.25784
"404"	0.28396
"405"	0.28764
"406"	0.26172
"407"	0.260600004
"408"	0.29928
"409"	0.23616
"410"	0.26976
"411"	0.19256
"412"	0.1604
"413"	0.19296
"414"	0.14768
"415"	0.20336
"416"	0.14832
"417"	0.1708
"418"	0.21936
"419"	0.23448
"420"	0.28572
"421"	0.32168
"422"	0.4414
"423"	0.384800004
"424"	0.34068
"425"	0.385240004
"426"	0.383160004
"427"	0.37476
"428"	0.370840004
"429"	0.327319996
"430"	0.30852
"431"	0.34392
"432"	0.31508
"433"	0.360439996
"434"	0.33716
"435"	0.33056
"436"	0.283000004
"437"	0.20216
"438"	0.1604
"439"	0.1608
"440"	0.13828
"441"	0.13972
"442"	0.19936
