""	"x"
"1"	0.128727605746666
"2"	0.325739797378513
"3"	0.0217503291168222
"4"	0.140804762177322
"5"	0.0144811401751474
"6"	0.0243260259859195
"7"	0.0050369183217904
"8"	0.144925877167878
"9"	0.00658233644324881
"10"	0.115734645984775
"11"	0.0751531108694408
"12"	0.0484803388472326
"13"	0.0238108866121001
"14"	0.00789880373189857
"15"	0.00578100852841852
"16"	0.00206055749527789
"17"	0.0156258943391907
"18"	0.000744090206628127
"19"	0.0111041153912197
"20"	0.0190601568313205
"21"	0.00898632018773968
"22"	0.00400663957415145
"23"	0.000343426249212981
"24"	0.0368610840821934
"25"	0.00961593497796348
"26"	0.0105317383091981
"27"	0.00778432831549425
"28"	0.00435006582336443
"29"	0.0173430255852556
"30"	0.273939671455555
"31"	0.0666246923473184
"32"	0.00160265582966058
"33"	0.200331978707573
"34"	0.0186022551657032
"35"	0.00349150020033198
"36"	0.0125350580962738
"37"	0.00898632018773968
"38"	0.0498540438440845
"39"	0.0595272165302501
"40"	0.0277602884780493
"41"	0.00749813977448343
"42"	0.00435006582336443
"43"	0.0129929597618911
"44"	0.00641062331864232
"45"	0.210005151393738
"46"	0.00578100852841852
"47"	0.0175147387098621
"48"	0.000171713124606491
"49"	0.040238108866121
"50"	0.0709747581706828
"51"	0.0179726403754794
"52"	0.115562932860168
"53"	0.0621029133993475
"54"	NA
"55"	0.0110468776830176
"56"	0.0274740999370385
"57"	0.0562646671627268
"58"	0.10342853872131
"59"	0.156144467975502
"60"	0.015396943506382
"61"	0.00120199187224544
"62"	0.0389788792856734
"63"	0.492015339705798
"64"	0.0807051685650507
"65"	0.027645813061645
"66"	0.0572377082021636
"67"	0.0908934806250358
"68"	0.0244405014023239
"69"	0.00143094270505409
"70"	0.0425848549024097
"71"	0.0206055749527789
"72"	0.00623891019403583
"73"	0.0124778203880717
"74"	0.0290767557666991
"75"	0.536946940644497
"76"	NA
"77"	0.00669681185965314
"78"	0.0163699845458188
"79"	0.0100165989353786
"80"	0.0437868467746551
"81"	0.0158548451719993
"82"	0.0655944135996795
"83"	0.0282754278518688
"84"	0.125808482628356
"85"	0.0597561673630588
"86"	0.0044073035315666
"87"	0.00606719706942934
"88"	0.0107606891420068
"89"	0.0156258943391907
"90"	0.0362314692919695
"91"	0.0583824623662069
"92"	0.0274740999370385
"93"	NA
"94"	0.0574094213267701
"95"	0.108808883292313
"96"	0.0194608207887356
"97"	0.224429053860683
"98"	0.00331978707572549
"99"	0.29311430370328
"100"	0.0709175204624807
"101"	0.00412111499055578
"102"	0.0259859195237823
"103"	0.0180298780836815
"104"	0.0405242974071318
"105"	0.206170224944193
"106"	0.0018888443706714
"107"	0.257340736076927
"108"	0.00137370499685193
"109"	0.100910079560414
"110"	0.200045790166562
"111"	0.0527731669623948
"112"	0.0214641405758113
"113"	0.0540896342510446
"114"	0.00177436895426707
"115"	0.00515139373819472
"116"	0.0149962795489669
"117"	0.0169995993360426
"118"	0.043042756568027
"119"	NA
"120"	0.373247095186309
"121"	0.0482513880144239
"122"	0.0174002632934577
"123"	0.398031022837846
"124"	0.0231812718218763
"125"	0.0330261576326484
"126"	0.00223227061988438
"127"	0.00950145956155916
"128"	0.159750443592239
"129"	0.0124778203880717
"130"	0.0220937553660351
"131"	0.0708602827542785
"132"	0.0777860454467403
"133"	0.00967317268616565
"134"	0.0870013164672886
"135"	0.0204338618281724
"136"	0.00183160666246923
"137"	0.0236964111956957
"138"	0.0397802072005037
"139"	0.00183160666246923
"140"	0.0471066338503806
"141"	0.105775284757598
"142"	0.0274740999370385
"143"	0.126380859710377
"144"	0.282868753935092
"145"	0.0274168622288364
"146"	0.0319386411768073
"147"	0.30238681243203
"148"	0.00337702478392765
"149"	0.00269017228550169
"150"	0.0067540495678553
"151"	0.00183160666246923
"152"	0.00618167248583367
"153"	0.0156258943391907
"154"	0.00995936122717646
"155"	0.0323393051342224
"156"	0.0352011905443306
"157"	0.0361742315837674
"158"	0.049338904470265
"159"	0.0270161982714212
"160"	NA
"161"	0.0658806021406903
"162"	0.0501402323850953
"163"	0.0554633392478965
"164"	0.2195638486635
"165"	0.476103256825597
"166"	0.000629614790223799
"167"	0.00177436895426707
"168"	0.0219792799496308
"169"	0.0224944193234503
"170"	0.000515139373819472
"171"	0.00532310686280121
"172"	0.0606147329860912
"173"	0.0259859195237823
"174"	0.00171713124606491
"175"	0.0323965428424246
"176"	0.232385095300784
"177"	0.0120199187224544
"178"	0.000572377082021636
"179"	0.0000572377082021636
"180"	0.0018888443706714
"181"	0.0224944193234503
"182"	0.00732642664987694
"183"	0.00589548394482285
"184"	0.0206055749527789
"185"	0.0337702478392765
"186"	0.000171713124606491
"187"	0.138171827600023
"188"	0.0193463453723313
"189"	0.0560929540381203
"190"	0.585999656573751
"191"	0.000457901665617309
"192"	0.0141377139259344
"193"	NA
"194"	0.000228950832808654
"195"	NA
"196"	0.00103027874763894
"197"	0.223570488237651
"198"	0.158433976303589
"199"	0.00372045103314063
"200"	0.115963596817583
"201"	0.0701161925476504
"202"	0.0149962795489669
"203"	0.0513422242573407
"204"	0.153053631732585
"205"	0.0546620113330662
"206"	0.0886612100051514
"207"	0.00394940186594929
"208"	0.117051113273425
"209"	0.0242115505695152
"210"	0.000343426249212981
"211"	NA
"212"	0.136798122603171
"213"	0.0642207086028275
"214"	0.000343426249212981
"215"	0.0705168565050655
"216"	0.0560357163299181
"217"	0.00578100852841852
"218"	0.0997653253963711
"219"	0.139660008013279
"220"	0.0050369183217904
"221"	0.0152824680899777
"222"	0.00858565623032454
"223"	0.00652509873504665
"224"	0.0471066338503806
"225"	0.294316295575525
