""	"x"
"1"	0.0141377139259344
"2"	0.0313662640947856
"3"	0.155400377768874
"4"	0.0722912254593326
"5"	0.100452177894797
"6"	0.00526586915459905
"7"	0.0573521836185679
"8"	0.0348005265869155
"9"	0.056665331120142
"10"	0.00423559040696011
"11"	0.00154541812145842
"12"	0.449831148760804
"13"	0.0297636082651251
"14"	0.0109896399748154
"15"	0.0380058382462366
"16"	0.0388644038692691
"17"	0.016083796004808
"18"	0.118768244519489
"19"	0.0544330605002576
"20"	0.177265182302101
"21"	0.0146528532997539
"22"	0.0354873790853414
"23"	0.0382920267872474
"24"	0.0681701104687768
"25"	0.26243489210692
"26"	0.0542041096674489
"27"	0.0145956155915517
"28"	0.0232957472382806
"29"	0.0663385038063076
"30"	0.0176864518344685
"31"	0.149848320073264
"32"	0.118596531394883
"33"	0.0385782153282583
"34"	0.181844198958274
"35"	0.0104172628927938
"36"	0.0876881689657146
"37"	0.071718848377311
"38"	0.112185908076241
"39"	0.193864117680728
"40"	0.342281495048938
"41"	0.0239253620285044
"42"	0.0456184534371244
"43"	0.0740655944135997
"44"	0.0418407646957816
"45"	0.0497968061358823
"46"	0.0436723713582508
"47"	0.0414401007383664
"48"	0.141835040924961
"49"	0.0392078301184821
"50"	0.12248869555263
