timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price
2012-04-08 00:00:00 UTC,+0,+68-2.89992e-15d,+68,+68,+0,+30
2012-04-08 00:30:00 UTC,+34,+51+3.74183e-15d,+51,+68,+1.02,+0.0651396
2012-04-08 01:00:00 UTC,+59.5,+73-6.27397e-15d,+73,+73,+1.02166,+0.0651396
2012-04-08 01:30:00 UTC,+96,+54-1.29578e-15d,+54,+73,+1.02404,+0.0632799
2012-04-08 02:00:00 UTC,+123,+52+5.50481e-15d,+52,+73,+1.02575,+0.0632799
2012-04-08 02:30:00 UTC,+149,+70-4.45278e-15d,+70,+73,+1.02739,+0.0479266
2012-04-08 03:00:00 UTC,+184,+47+3.11288e-15d,+47,+73,+1.02907,+0.0479266
2012-04-08 03:30:00 UTC,+207.5,+59-2.58757e-15d,+59,+73,+1.0302,+0.0549807
2012-04-08 04:00:00 UTC,+237,+68+7.48366e-16d,+68,+73,+1.03182,+0.0549807
2012-04-08 04:30:00 UTC,+271,+51-9.97821e-16d,+51,+73,+1.03369,+0.0541449
2012-04-08 05:00:00 UTC,+296.5,+68-4.95792e-15d,+68,+73,+1.03507,+0.0541449
2012-04-08 05:30:00 UTC,+330.5,+59+6.46892e-16d,+59,+73,+1.03691,+0.0526922
2012-04-08 06:00:00 UTC,+360,+86+2.81072e-15d,+86,+86,+1.03846,+0.0526922
2012-04-08 06:30:00 UTC,+403,+112-1.13591e-16d,+112,+112,+1.04073,+0.0256759
2012-04-08 07:00:00 UTC,+459,+95+2.67836e-15d,+95,+112,+1.04217,+0.0256759
2012-04-08 07:30:00 UTC,+506.5,+207-3.6876e-15d,+207,+207,+1.04339,+0.0487565
2012-04-08 08:00:00 UTC,+610,+132-3.27694e-15d,+132,+207,+1.04843,+0.0487565
2012-04-08 08:30:00 UTC,+676,+122+5.52687e-15d,+122,+207,+1.05165,+0.0607318
2012-04-08 09:00:00 UTC,+737,+120-1.37824e-15d,+120,+207,+1.05536,+0.0607318
2012-04-08 09:30:00 UTC,+797,+174-4.38697e-15d,+174,+207,+1.059,+0.0674444
2012-04-08 10:00:00 UTC,+884,+75-4.49518e-15d,+75,+207,+1.06487,+0.0674444
2012-04-08 10:30:00 UTC,+921.5,+89-6.14669e-15d,+89,+207,+1.0674,+0.0771391
2012-04-08 11:00:00 UTC,+966,+69+5.5314e-15d,+69,+207,+1.07083,+0.0771391
2012-04-08 11:30:00 UTC,+1000.5,+73-6.18683e-15d,+73,+207,+1.07349,+0.115129
2012-04-08 12:00:00 UTC,+1037,+62+3.69355e-15d,+62,+207,+1.07769,+0.115129
2012-04-08 12:30:00 UTC,+1068,+60+6.14907e-15d,+60,+207,+1.08126,+0.314472
2012-04-08 13:00:00 UTC,+1098,+66+2.69865e-15d,+66,+207,+1.0907,+0.314472
2012-04-08 13:30:00 UTC,+1131,+75-3.39259e-15d,+75,+207,+1.10107,+0.103281
2012-04-08 14:00:00 UTC,+1168.5,+68+4.86438e-15d,+68,+207,+1.10495,+0.103281
2012-04-08 14:30:00 UTC,+1202.5,+53+3.36059e-15d,+53,+207,+1.10846,+0.107517
2012-04-08 15:00:00 UTC,+1229,+76+2.51096e-16d,+76,+207,+1.11131,+0.107517
2012-04-08 15:30:00 UTC,+1267,+67+3.32297e-15d,+67,+207,+1.11539,+0.0909781
2012-04-08 16:00:00 UTC,+1300.5,+53+3.60063e-16d,+53,+207,+1.11844,+0.0909781
2012-04-08 16:30:00 UTC,+1327,+91-1.39805e-16d,+91,+207,+1.12085,+0.0994651
2012-04-08 17:00:00 UTC,+1372.5,+62-3.07796e-15d,+62,+207,+1.12538,+0.0994651
2012-04-08 17:30:00 UTC,+1403.5,+64-2.98177e-15d,+64,+207,+1.12846,+0.163446
2012-04-08 18:00:00 UTC,+1435.5,+98+5.19274e-16d,+98,+207,+1.13369,+0.163446
2012-04-08 18:30:00 UTC,+1484.5,+73+2.87557e-15d,+73,+207,+1.1417,+0.18878
2012-04-08 19:00:00 UTC,+1521,+83-5.67135e-15d,+83,+207,+1.14859,+0.18878
2012-04-08 19:30:00 UTC,+1562.5,+82-9.30894e-16d,+82,+207,+1.15642,+0.122554
2012-04-08 20:00:00 UTC,+1603.5,+72+3.88734e-15d,+72,+207,+1.16145,+0.122554
2012-04-08 20:30:00 UTC,+1639.5,+84-3.48346e-15d,+84,+207,+1.16586,+0.281735
2012-04-08 21:00:00 UTC,+1681.5,+83+3.06559e-15d,+83,+207,+1.17769,+0.281735
2012-04-08 21:30:00 UTC,+1723,+69-5.25483e-15d,+69,+207,+1.18939,+0.240559
2012-04-08 22:00:00 UTC,+1757.5,+63-3.33201e-15d,+63,+207,+1.19769,+0.240559
2012-04-08 22:30:00 UTC,+1789,+138-3.04227e-15d,+138,+207,+1.20526,+0.0828338
